target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ARI incidence,BE,2024-10-20,1,quantile,0.01,794.3538659426263,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.01,760.8039184212785,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.01,808.7088664750365,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.01,821.1658958191325,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.025,816.30452817633,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.025,835.0065970728463,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.025,852.1031703366298,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.025,834.0626121927484,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.05,849.6970045926281,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.05,868.2026353951136,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.05,879.8952910784983,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.05,862.7179383168689,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.1,1020.9132130314682,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.1,973.0591859516963,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.1,962.6786104912369,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.1,938.3916545782304,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.15,1086.028650783278,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.15,1067.8678338340644,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.15,1021.8996582933585,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.15,1000.9022367560369,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.2,1169.5215856757536,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.2,1134.2924699793673,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.2,1065.8611479732458,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.2,1056.7183014766388,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.25,1193.7325817054357,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.25,1156.0735784791434,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.25,1088.748724179397,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.25,1106.0173555485353,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.3,1218.6986200125064,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.3,1178.643649313018,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.3,1103.64871957919,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.3,1130.4105162539058,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.35,1233.496205434836,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.35,1188.8695957313835,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.35,1127.2936399121231,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.35,1144.4221165122353,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.4,1248.1207252062916,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.4,1198.0886684738166,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.4,1160.6196113215956,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.4,1158.437420042451,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.45,1278.1975057569748,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.45,1208.003848031316,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.45,1172.8505041403837,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.45,1167.4687088873352,2024-10-23
ARI incidence,BE,2024-10-20,1,median,0.5,1286.202426512229,2024-10-23
ARI incidence,BE,2024-10-27,2,median,0.5,1216.359044445795,2024-10-23
ARI incidence,BE,2024-11-03,3,median,0.5,1181.233733428434,2024-10-23
ARI incidence,BE,2024-11-10,4,median,0.5,1177.8308515458893,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.55,1289.8397273043952,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.55,1224.4599617168003,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.55,1189.6642244575837,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.55,1189.2917401626487,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.6,1292.0994354876923,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.6,1231.0455298946108,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.6,1197.3054381083878,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.6,1198.1876448552464,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.65,1294.1230587025398,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.65,1239.8886785407524,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.65,1206.1707735608163,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.65,1209.6573489172154,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.7,1296.9776824524354,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.7,1249.9468155427635,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.7,1222.3921378171162,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.7,1222.790074931067,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.75,1300.0503034679944,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.75,1264.9132815945702,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.75,1236.3276557739275,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.75,1240.3361031654097,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.8,1302.0128013554786,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.8,1273.4735627543134,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.8,1246.9930211612416,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.8,1259.100357227931,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.85,1306.3899995724094,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.85,1281.9990980515702,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.85,1258.7696664626908,2024-10-23
