target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ARI incidence,BE,2024-10-20,1,quantile,0.01,817.5530047531835,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.01,736.5070598091,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.01,736.7213107707544,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.01,672.9882831623556,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.025,874.2847765916296,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.025,819.072729096539,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.025,801.2739181218178,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.025,776.5728089476544,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.05,933.8347807177871,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.05,886.7830668315031,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.05,872.2748060184568,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.05,825.1224716772189,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.1,1004.5695389960736,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.1,967.1187460585975,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.1,953.6583500214833,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.1,894.3433103647526,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.15,1060.8288160533916,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.15,1018.1384750726985,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.15,1001.6451326465301,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.15,938.2634720091833,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.2,1112.4295506399048,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.2,1063.5697905901714,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.2,1044.3235244769455,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.2,982.3876188136252,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.25,1146.823983441186,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.25,1098.0307723280125,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.25,1077.50072865687,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.25,1015.2753943495226,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.3,1187.569875191944,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.3,1139.4097384160373,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.3,1107.1766023486882,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.3,1050.2475007105559,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.35,1229.0235754234134,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.35,1179.7482299158034,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.35,1147.6675670158,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.35,1087.2552395838186,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.4,1264.6669661801402,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.4,1217.2196424729188,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.4,1173.6736399780789,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.4,1115.8457527068906,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.45,1300.988943848707,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.45,1256.5381037831135,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.45,1214.9257948545205,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.45,1143.911466012365,2024-10-23
ARI incidence,BE,2024-10-20,1,median,0.5,1346.0488635871625,2024-10-23
