target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ARI incidence,BE,2024-10-20,1,quantile,0.01,1102.0367150828527,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.01,833.4174578265203,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.01,954.4731773750212,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.01,845.3304339968929,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.025,1123.3133409175175,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.025,890.6730968646863,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.025,969.2867916623021,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.025,867.6312344753281,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.05,1128.561825562936,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.05,1098.1771039566615,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.05,1001.633368488925,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.05,902.0848618910559,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.1,1157.1282011666851,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.1,1142.0005785079647,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.1,1065.7499893565623,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.1,950.159648646195,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.15,1190.9039279811664,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.15,1150.2498751478563,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.15,1072.1045006746167,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.15,985.1684674723895,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.2,1197.3128079038568,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.2,1157.2876690535809,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.2,1073.6156598322555,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.2,991.2736976087052,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.25,1212.3550584109394,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.25,1163.6201198475358,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.25,1095.6097972511398,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.25,1005.0572058533635,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.3,1220.7350234862502,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.3,1166.7904936079265,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.3,1106.6634119350044,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.3,1011.8490086251244,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.35,1223.3703578496036,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.35,1171.3989987966668,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.35,1132.8149299423324,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.35,1017.5498845470815,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.4,1227.3439579408664,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.4,1178.4222117507954,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.4,1137.873656849337,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.4,1022.3816499698898,2024-10-23
ARI incidence,BE,2024-10-20,1,quantile,0.45,1233.0346328690855,2024-10-23
ARI incidence,BE,2024-10-27,2,quantile,0.45,1193.7148678828005,2024-10-23
ARI incidence,BE,2024-11-03,3,quantile,0.45,1145.8787478526501,2024-10-23
ARI incidence,BE,2024-11-10,4,quantile,0.45,1024.1051361815262,2024-10-23
ARI incidence,BE,2024-10-20,1,median,0.5,1240.428114663042,2024-10-23
ARI incidence,BE,2024-10-27,2,median,0.5,1202.8896493791544,2024-10-23
ARI incidence,BE,2024-11-03,3,median,0.5,1158.1309636779056,2024-10-23
ARI incidence,BE,2024-11-10,4,median,0.5,1027.7525697548735,2024-10-23
